date_only,total_volume,avg_leverage,total_pnl,avg_pnl,trades,classification
2023-01-05,0,,0,0.0,3,Fear
2023-05-12,0,,0,0.0,9,Neutral
2024-01-01,0,,0,0.0,18,Greed
2024-01-02,0,,0,0.0,6,Greed
2024-01-03,0,,0,0.0,137,Greed
2024-01-04,0,,0,0.0,77,Greed
2024-01-05,0,,0,0.0,14,Greed
2024-01-06,0,,0,0.0,25,Greed
2024-01-07,0,,0,0.0,64,Greed
2024-01-08,0,,0,0.0,57,Greed
2024-01-09,0,,0,0.0,12,Extreme greed
2024-01-10,0,,0,0.0,4,Greed
2024-01-11,0,,0,0.0,23,Extreme greed
2024-01-12,0,,0,0.0,416,Greed
2024-02-01,0,,0,0.0,17,Greed
2024-02-02,0,,0,0.0,42,Greed
2024-02-03,0,,0,0.0,31,Greed
2024-02-04,0,,0,0.0,41,Greed
2024-02-06,0,,0,0.0,93,Greed
2024-02-07,0,,0,0.0,18,Greed
2024-02-08,0,,0,0.0,63,Greed
2024-02-09,0,,0,0.0,2,Greed
2024-02-10,0,,0,0.0,4,Greed
2024-02-11,0,,0,0.0,2,Greed
2024-02-12,0,,0,0.0,270,Greed
2024-03-01,0,,0,0.0,67,Extreme greed
2024-03-02,0,,0,0.0,56,Extreme greed
2024-03-03,0,,0,0.0,79,Extreme greed
2024-03-04,0,,0,0.0,4,Extreme greed
2024-03-05,0,,0,0.0,36,Extreme greed
2024-03-06,0,,0,0.0,70,Extreme greed
2024-03-07,0,,0,0.0,18,Extreme greed
2024-03-08,0,,0,0.0,37,Extreme greed
2024-03-10,0,,0,0.0,9,Extreme greed
2024-03-11,0,,0,0.0,6,Extreme greed
2024-03-12,0,,0,0.0,374,Extreme greed
2024-04-01,0,,0,0.0,5,Extreme greed
2024-04-02,0,,0,0.0,35,Extreme greed
2024-04-03,0,,0,0.0,300,Greed
2024-04-04,0,,0,0.0,32,Greed
2024-04-05,0,,0,0.0,9,Extreme greed
2024-04-06,0,,0,0.0,53,Extreme greed
2024-04-07,0,,0,0.0,25,Extreme greed
2024-04-08,0,,0,0.0,127,Extreme greed
2024-04-09,0,,0,0.0,34,Extreme greed
2024-04-10,0,,0,0.0,1,Extreme greed
2024-04-11,0,,0,0.0,36,Extreme greed
2024-04-12,0,,0,0.0,319,Extreme greed
2024-05-01,0,,0,0.0,66,Neutral
2024-05-02,0,,0,0.0,72,Fear
2024-05-03,0,,0,0.0,180,Neutral
2024-05-04,0,,0,0.0,100,Greed
2024-05-05,0,,0,0.0,6,Greed
2024-05-06,0,,0,0.0,54,Greed
2024-05-07,0,,0,0.0,32,Greed
2024-05-08,0,,0,0.0,80,Greed
2024-05-09,0,,0,0.0,1,Greed
2024-05-10,0,,0,0.0,37,Greed
